example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
multi_needle_seed409_L128_000,409,multi_needle,128,25,25,third same-token occurrence in increasing delta order,8,0.028074,1,0.11567351,3,0.09531095,1,0.12562854,10,0.08139971
aggregation_seed409_L128_000,409,aggregation,128,91,91;97,two explicit offsets selected by the aggregation packet generator,3,0.11803487,1,0.18869342,12,0.10188723,1,0.21805341,2,0.14005505
passkey_exact_seed409_L128_001,409,passkey_exact,128,82,82,exact passkey offset chosen by RNG and exposed as the query offset,9,0.03115669,1,0.1306958,9,0.07395769,1,0.15536058,3,0.0885933
multi_needle_seed409_L128_001,409,multi_needle,128,51,51,third same-token occurrence in increasing delta order,5,0.03002223,1,0.11763894,3,0.08995011,1,0.13586209,10,0.08139971
aggregation_seed409_L128_001,409,aggregation,128,74,74;86,two explicit offsets selected by the aggregation packet generator,7,0.0653992,1,0.16992356,6,0.13091864,1,0.18686856,5,0.14005505
passkey_exact_seed409_L128_002,409,passkey_exact,128,64,64,exact passkey offset chosen by RNG and exposed as the query offset,6,0.04180465,1,0.12765726,7,0.08195552,1,0.15049847,5,0.0885933
multi_needle_seed409_L128_002,409,multi_needle,128,28,28,third same-token occurrence in increasing delta order,5,0.02394081,1,0.12438069,3,0.10136605,1,0.13951693,10,0.08139971
aggregation_seed409_L128_002,409,aggregation,128,82,82;89,two explicit offsets selected by the aggregation packet generator,6,0.0426815,1,0.18542374,8,0.12148975,1,0.2068677,6,0.14005505
passkey_exact_seed409_L128_003,409,passkey_exact,128,102,102,exact passkey offset chosen by RNG and exposed as the query offset,5,0.0624431,1,0.13994288,11,0.05694799,1,0.15846963,1,0.0885933
multi_needle_seed409_L128_003,409,multi_needle,128,53,53,third same-token occurrence in increasing delta order,7,0.05045103,1,0.12373588,3,0.09908527,1,0.14437067,10,0.08139971
aggregation_seed409_L128_003,409,aggregation,128,88,88;93,two explicit offsets selected by the aggregation packet generator,3,0.20764448,1,0.18407076,11,0.10925311,1,0.20384443,3,0.14005505
passkey_exact_seed409_L256_000,409,passkey_exact,256,231,231,exact passkey offset chosen by RNG and exposed as the query offset,6,0.03243754,1,0.14080838,10,0.05596052,1,0.16174183,2,0.08617112
multi_needle_seed409_L256_000,409,multi_needle,256,70,70,third same-token occurrence in increasing delta order,8,0.0395186,1,0.12185001,3,0.09388069,1,0.14364713,10,0.07935036
aggregation_seed409_L256_000,409,aggregation,256,138,138;164,two explicit offsets selected by the aggregation packet generator,6,0.07793909,1,0.17257137,4,0.13415575,1,0.19879373,6,0.1370109
